"gene","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"RNF130","OK",0,41.417901766855,0.0785046719027453,"RNF130",0
"MGAT1","OK",0,49.4042809850656,0.093658174739717,"MGAT1",0
"RACK1","OK",0,59.93629475515,0.113596448785764,"RACK1",0
"TUBB2A","OK",0,44.2248771488541,0.0838318682321678,"TUBB2A",0
"F13A1","OK",0,75.0083625344458,0.140944960339103,"F13A1",0
"BTN3A2","OK",0,40.3623976387959,0.0765090659798585,"BTN3A2",0
"HLA-G","OK",0,167.053452603593,0.316745077406843,"HLA-G",0
"HLA-A","OK",0,147.277781644176,0.27917305537174,"HLA-A",0
"HLA-E","OK",0,94.3183195038854,0.178809914441509,"HLA-E",0
"HLA-C","OK",0,183.976821200003,0.348800655632598,"HLA-C",0
"HLA-B","OK",0,203.257217840969,0.385382386536093,"HLA-B",0
"TNF","OK",0,57.2304110306641,0.108472394739424,"TNF",0
"LTB","OK",0,308.471944140493,0.584998846113346,"LTB",0
"NCR3","OK",0,66.2164370629347,0.125513600692228,"NCR3",0
"AIF1","OK",0,87.143768724891,0.165195687855534,"AIF1",0
"CLIC1","OK",0,87.3249141182477,0.165579519489415,"CLIC1",0
"HSPA1A","OK",0,50.6936777304752,0.0961005831644647,"HSPA1A",0
"HSPA1B","OK",0,52.2513523324904,0.0990554313215634,"HSPA1B",0
"SNHG32","OK",0,44.7822961805085,0.0848921331931492,"SNHG32",0
"HLA-DRA","OK",0,90.7009881976693,0.171972690918808,"HLA-DRA",0
"HLA-DRB5","OK",0,56.5061032313961,0.107110543768991,"HLA-DRB5",0
"HLA-DRB1","OK",0,172.201554129725,0.326555235153225,"HLA-DRB1",0
"HLA-DQA1","OK",0,51.522474659696,0.0976658516120629,"HLA-DQA1",0
"HLA-DQB1","OK",0,83.371028584292,0.158074200985862,"HLA-DQB1",0
"PSMB9","OK",0,56.869617179999,0.107818057503508,"PSMB9",0
"HLA-DPA1","OK",0,110.398743272113,0.209340767490559,"HLA-DPA1",0
"HLA-DPB1","OK",0,120.737056444553,0.22894939753894,"HLA-DPB1",0
"RPS18","OK",0,118.245620030741,0.224110222915917,"RPS18",0
"HMGA1","OK",0,47.6440990820452,0.0903205584599181,"HMGA1",0
"RPS10","OK",0,110.418247593914,0.209270531049334,"RPS10",0
"RPL10A","OK",0,90.5397354970857,0.171618996408758,"RPL10A",0
"CDKN1A","OK",0,70.7407360943868,0.134123735079772,"CDKN1A",0
"PIM1","OK",0,42.4884579535231,0.0805426331693902,"PIM1",0
"RUNX2","OK",0,46.0832572326501,0.0873546045365528,"RUNX2",0
"ELOVL5","OK",0,41.132749582982,0.077971410633082,"ELOVL5",0
"EEF1A1","OK",0,135.995043162424,0.257773634011973,"EEF1A1",0
"ME1","OK",0,99.4161228266933,0.187825030336618,"ME1",0
"NT5E","OK",0,92.463274590711,0.175280734547747,"NT5E",0
"BACH2","OK",0,202.240583318072,0.383529318828532,"BACH2",0
"PRDM1","OK",0,51.2265473265504,0.0971108984040535,"PRDM1",0
"SLC16A10","OK",0,88.9261935676736,0.168554467161924,"SLC16A10",0
"FYN","OK",0,68.288697356103,0.129461586952971,"FYN",0
"THEMIS","OK",0,103.486158269295,0.196230688863077,"THEMIS",0
